x,	 p,	 error
1.8625,	0.0182,	0.000279422
1.8875,	0.01584,	0.000245657
1.9125,	0.014228,	0.000251589
1.9375,	0.011876,	0.000228315
1.9625,	0.010312,	0.00021071
1.9875,	0.0088,	0.000180683
2.0125,	0.007252,	0.000161373
2.0375,	0.00634,	0.000176921
2.0625,	0.005424,	0.000152057
2.0875,	0.00458,	0.000136256
2.1125,	0.0037,	0.000127049
2.1375,	0.003232,	0.000110343
2.1625,	0.002672,	0.000107704
2.1875,	0.002288,	0.000100114
2.2125,	0.001872,	7.93672e-05
2.2375,	0.001744,	7.92939e-05
2.2625,	0.00126,	7.13223e-05
2.2875,	0.000992,	6.26628e-05
2.3125,	0.000928,	6.42923e-05
2.3375,	0.000652,	5.13746e-05
2.3625,	0.000596,	4.70529e-05
2.3875,	0.000448,	5.12565e-05
2.4125,	0.000332,	3.64284e-05
2.4375,	0.0003,	3.42893e-05
2.4625,	0.000252,	3.14781e-05
2.4875,	0.000216,	2.97708e-05
2.5125,	0.000192,	2.6956e-05
2.5375,	0.000104,	2.17386e-05
2.5625,	9.2e-05,	1.95753e-05
2.5875,	7.6e-05,	1.77024e-05
2.6125,	6e-05,	1.54397e-05
2.6375,	6.8e-05,	1.5101e-05
2.6625,	2e-05,	8.76172e-06
2.6875,	4e-05,	1.33333e-05
2.7125,	2e-05,	8.76172e-06
2.7375,	1.6e-05,	7.87786e-06
2.7625,	0,	0
2.7875,	1.6e-05,	7.87786e-06
2.8125,	8e-06,	5.62821e-06
2.8375,	4e-06,	4e-06
2.8625,	0,	0
2.8875,	0,	0
2.9125,	4e-06,	4e-06
2.9375,	8e-06,	5.62821e-06
2.9625,	4e-06,	4e-06
2.9875,	4e-06,	4e-06
3.0125,	0,	0
3.0375,	0,	0
3.0625,	0,	0
3.0875,	4e-06,	4e-06
3.1125,	0,	0
3.1375,	0,	0
3.1625,	0,	0
3.1875,	0,	0
3.2125,	0,	0
3.2375,	0,	0
3.2625,	0,	0
3.2875,	0,	0
3.3125,	0,	0
3.3375,	0,	0
3.3625,	0,	0
3.3875,	0,	0
3.4125,	0,	0
3.4375,	0,	0
3.4625,	0,	0
3.4875,	0,	0
3.5125,	0,	0
3.5375,	0,	0
3.5625,	0,	0
3.5875,	0,	0
3.6125,	0,	0
3.6375,	0,	0
3.6625,	0,	0
3.6875,	0,	0
3.7125,	0,	0
3.7375,	0,	0
3.7625,	0,	0
3.7875,	0,	0
3.8125,	0,	0
3.8375,	0,	0
3.8625,	0,	0
3.8875,	0,	0
3.9125,	0,	0
3.9375,	0,	0
3.9625,	0,	0
3.9875,	0,	0
4.0125,	0,	0
4.0375,	0,	0
4.0625,	0,	0
4.0875,	0,	0
4.1125,	0,	0
4.1375,	0,	0
4.1625,	0,	0
4.1875,	0,	0
4.2125,	0,	0
4.2375,	0,	0
4.2625,	0,	0
4.2875,	0,	0
4.3125,	0,	0
4.3375,	0,	0
4.3625,	0,	0
4.3875,	0,	0
4.4125,	0,	0
4.4375,	0,	0
4.4625,	0,	0
4.4875,	0,	0
4.5125,	0,	0
4.5375,	0,	0
4.5625,	0,	0
4.5875,	0,	0
4.6125,	0,	0
4.6375,	0,	0
4.6625,	0,	0
4.6875,	0,	0
4.7125,	0,	0
4.7375,	0,	0
4.7625,	0,	0
4.7875,	0,	0
4.8125,	0,	0
4.8375,	0,	0
4.8625,	0,	0
4.8875,	0,	0
4.9125,	0,	0
4.9375,	0,	0
4.9625,	0,	0
4.9875,	0,	0
